2023-12-30 20:12:135 INFO  HomePage :75 - Sending the email text to signup field : [[ChromeDriver: chrome on windows (9ecd33493da05a547035fed6360e1b26)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 20:12:312 INFO  HomePage :91 - Clicking on Signup button : [[ChromeDriver: chrome on windows (9ecd33493da05a547035fed6360e1b26)] -> xpath: //button[normalize-space()='Signup']]
2023-12-30 20:12:346 INFO  RegisterPage :149 - Getting Enter Account Information text : [[ChromeDriver: chrome on windows (9ecd33493da05a547035fed6360e1b26)] -> xpath: //b[normalize-space()='Enter Account Information']]
2023-12-30 20:12:764 INFO  HomePage :61 - Getting text as New User Signup! : [[ChromeDriver: chrome on windows (be0b055285522fae73cc1e0163db941e)] -> xpath: //h2[normalize-space()='New User Signup!']]
2023-12-30 20:12:122 INFO  HomePage :73 - Sending the name text to signup field : [[ChromeDriver: chrome on windows (be0b055285522fae73cc1e0163db941e)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 20:12:212 INFO  HomePage :75 - Sending the email text to signup field : [[ChromeDriver: chrome on windows (be0b055285522fae73cc1e0163db941e)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 20:12:397 INFO  HomePage :91 - Clicking on Signup button : [[ChromeDriver: chrome on windows (be0b055285522fae73cc1e0163db941e)] -> xpath: //button[normalize-space()='Signup']]
2023-12-30 20:12:427 INFO  RegisterPage :149 - Getting Enter Account Information text : [[ChromeDriver: chrome on windows (be0b055285522fae73cc1e0163db941e)] -> xpath: //b[normalize-space()='Enter Account Information']]
2023-12-30 20:12:581 INFO  HomePage :61 - Getting text as New User Signup! : [[ChromeDriver: chrome on windows (eb753b29384a09c1b46e6b6415b97593)] -> xpath: //h2[normalize-space()='New User Signup!']]
2023-12-30 20:12:945 INFO  HomePage :73 - Sending the name text to signup field : [[ChromeDriver: chrome on windows (eb753b29384a09c1b46e6b6415b97593)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 20:12:45 INFO  HomePage :75 - Sending the email text to signup field : [[ChromeDriver: chrome on windows (eb753b29384a09c1b46e6b6415b97593)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 20:12:478 INFO  HomePage :91 - Clicking on Signup button : [[ChromeDriver: chrome on windows (eb753b29384a09c1b46e6b6415b97593)] -> xpath: //button[normalize-space()='Signup']]
2023-12-30 20:12:525 INFO  RegisterPage :149 - Getting Enter Account Information text : [[ChromeDriver: chrome on windows (eb753b29384a09c1b46e6b6415b97593)] -> xpath: //b[normalize-space()='Enter Account Information']]
2023-12-30 20:12:433 INFO  HomePage :61 - Getting text as New User Signup! : [[ChromeDriver: chrome on windows (1c8916616b126b3b218bbd283a21d711)] -> xpath: //h2[normalize-space()='New User Signup!']]
2023-12-30 20:12:588 INFO  HomePage :73 - Sending the name text to signup field : [[ChromeDriver: chrome on windows (1c8916616b126b3b218bbd283a21d711)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 20:12:693 INFO  HomePage :75 - Sending the email text to signup field : [[ChromeDriver: chrome on windows (1c8916616b126b3b218bbd283a21d711)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 20:12:296 INFO  HomePage :91 - Clicking on Signup button : [[ChromeDriver: chrome on windows (1c8916616b126b3b218bbd283a21d711)] -> xpath: //button[normalize-space()='Signup']]
